标记点（置信度）,标记点,x坐标,y坐标,,
lower_leg 0.90,lower_leg ,2818.5,1978,,
joint 0.91,joint ,2559.5,1058,,
upper_leg 0.91,upper_leg ,2126.5,341.5,,
lower_leg 0.90,lower_leg ,2818.5,1978,,
joint 0.91,joint ,2559.5,1058,,
upper_leg 0.91,upper_leg ,2126.5,341.5,,
lower_leg 0.90,lower_leg ,3045.5,1872,,
joint 0.90,joint ,2707.5,981,,
upper_leg 0.91,upper_leg ,2226.5,297.5,,
upper_leg 0.90,upper_leg ,2256.5,279.5,,
joint 0.91,joint ,2753,956,,
lower_leg 0.91,lower_leg ,3128,1831,,
lower_leg 0.86,lower_leg ,3192.5,1795,,
joint 0.89,joint ,2784.5,931,,
upper_leg 0.90,upper_leg ,2283,261,,
lower_leg 0.86,lower_leg ,3192.5,1795,,
joint 0.89,joint ,2784.5,931,,
upper_leg 0.90,upper_leg ,2283,261,,
lower_leg 0.86,lower_leg ,3289.5,1748,,
joint 0.90,joint ,2832.5,909.5,,
upper_leg 0.92,upper_leg ,2315.5,248,,
lower_leg 0.90,lower_leg ,3319.5,1733,,
joint 0.90,joint ,2855,893,,
upper_leg 0.91,upper_leg ,2329.5,242,,
joint 0.89,joint ,2861,894.5,,
lower_leg 0.91,lower_leg ,3331,1729.5,,
upper_leg 0.91,upper_leg ,2335.5,241.5,,
joint 0.90,joint ,2858,895.5,,
lower_leg 0.90,lower_leg ,3328,1736,,
upper_leg 0.91,upper_leg ,2342,244,,
joint 0.90,joint ,2858,895.5,,
lower_leg 0.90,lower_leg ,3328,1736,,
upper_leg 0.91,upper_leg ,2342,244,,
lower_leg 0.88,lower_leg ,3247,1790.5,,
joint 0.90,joint ,2823,936,,
upper_leg 0.91,upper_leg ,2322,261.5,,
lower_leg 0.88,lower_leg ,3163,1842,,
upper_leg 0.90,upper_leg ,2294,279,,
joint 0.91,joint ,2772,969.5,,
lower_leg 0.88,lower_leg ,3163,1842,,
upper_leg 0.90,upper_leg ,2294,279,,
joint 0.91,joint ,2772,969.5,,
lower_leg 0.90,lower_leg ,2920.5,1958,,
joint 0.91,joint ,2628.5,1050,,
upper_leg 0.92,upper_leg ,2209.5,328,,
